gs_cat,gs_subcat,gs_name,gene_symbol,entrez_gene,ensembl_gene,human_gene_symbol,human_entrez_gene,human_ensembl_gene,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,taxon_id,ortholog_sources,num_ortholog_sources
C2,CP:KEGG,ABC_TRANSPORTERS,abca1a,558924,ENSDARG00000074635,ABCA1,19,ENSG00000165029,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,EggNOG|Ensembl|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,9
C2,CP:KEGG,ABC_TRANSPORTERS,abca1b,100136868,ENSDARG00000079009,ABCA1,19,ENSG00000165029,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,9
C2,CP:KEGG,ABC_TRANSPORTERS,abca12,558335,ENSDARG00000074749,ABCA12,26154,ENSG00000144452,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther|Treefam|ZFIN,8
C2,CP:KEGG,ABC_TRANSPORTERS,abca2,100006090,ENSDARG00000013500,ABCA2,20,ENSG00000107331,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|ZFIN,7
C2,CP:KEGG,ABC_TRANSPORTERS,abca3b,564344,ENSDARG00000100524,ABCA3,21,ENSG00000167972,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|ZFIN,9
C2,CP:KEGG,ABC_TRANSPORTERS,abca4b,555506,ENSDARG00000062661,ABCA4,24,ENSG00000198691,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,Ensembl|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,9
C2,CP:KEGG,ABC_TRANSPORTERS,abca5,100151075,ENSDARG00000074041,ABCA5,23461,ENSG00000154265,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|ZFIN,8
C2,CP:KEGG,ABC_TRANSPORTERS,abca7,561460,ENSDARG00000074221,ABCA7,10347,ENSG00000064687,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,Ensembl|OrthoDB|Treefam|ZFIN,4
C2,CP:KEGG,ABC_TRANSPORTERS,abcb4,100136865,ENSDARG00000010936,ABCB1,5243,ENSG00000085563,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,OMA|OrthoDB|OrthoMCL|Panther|ZFIN,5
C2,CP:KEGG,ABC_TRANSPORTERS,abcb10,100003744,ENSDARG00000061591,ABCB10,23456,ENSG00000135776,M11911,,,hsa02010,http://www.genome.jp/kegg/pathway/hsa/hsa02010.html,ABC transporters,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Treefam|ZFIN,10
