gs_cat,gs_subcat,gs_name,gene_symbol,entrez_gene,ensembl_gene,human_gene_symbol,human_entrez_gene,human_ensembl_gene,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,taxon_id,ortholog_sources,num_ortholog_sources
H,,ADIPOGENESIS,abca1a,558924,ENSDARG00000074635,ABCA1,19,ENSG00000165029,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,9
H,,ADIPOGENESIS,abca1b,100136868,ENSDARG00000079009,ABCA1,19,ENSG00000165029,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,9
H,,ADIPOGENESIS,abcb8,548340,ENSDARG00000056672,ABCB8,11194,ENSG00000197150,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam|ZFIN,10
H,,ADIPOGENESIS,acaa2,406325,ENSDARG00000038881,ACAA2,10449,ENSG00000167315,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,11
H,,ADIPOGENESIS,acadl,394156,ENSDARG00000088357,ACADL,33,ENSG00000115361,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,11
H,,ADIPOGENESIS,acadm,406283,ENSDARG00000038900,ACADM,34,ENSG00000117054,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,11
H,,ADIPOGENESIS,acads,445288,ENSDARG00000030781,ACADS,35,ENSG00000122971,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|ZFIN,11
H,,ADIPOGENESIS,aclya,436922,ENSDARG00000099079,ACLY,47,ENSG00000131473,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|ZFIN,9
H,,ADIPOGENESIS,aco2,322670,ENSDARG00000007294,ACO2,50,ENSG00000100412,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam|ZFIN,10
H,,ADIPOGENESIS,acox1,449662,ENSDARG00000014727,ACOX1,51,ENSG00000161533,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,11
H,,ADIPOGENESIS,adcy6b,560807,ENSDARG00000027797,ADCY6,112,ENSG00000174233,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,9
H,,ADIPOGENESIS,adipoqb,751715,ENSDARG00000100086,ADIPOQ,9370,ENSG00000181092,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|ZFIN,9
H,,ADIPOGENESIS,adipor2,560140,ENSDARG00000101849,ADIPOR2,79602,ENSG00000006831,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|ZFIN,8
H,,ADIPOGENESIS,agpat3,406734,ENSDARG00000036549,AGPAT3,56894,ENSG00000160216,M5905,26771021,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,7955,EggNOG|Ensembl|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|Treefam|ZFIN,10
